id	Name	id_sub	Town	Prefecture	lat	long	facility type	corroboration level	ETNAM 	Shawn Zhang list	Shawn Zhang #	ASPI 2020 #	XJVDB	Media reports	Researchers	Links	Links 2	Links 3	Links 4
804	Korgas - I		Korgas	Ili	44.1743196499605	80.646106587035	detention center	Satellite - strong											
805	Wenquan - II		Wenquan	Bortala	44.9690863781293	81.0306678310496		Pre-2016 programme - detention centre	P_BO03										
806	Jiashi - III		Jiashi	Kashgar	39.4914333482314	76.7459520800849		Pre-2016 programme - detention centre	P_QE12										
809	Xinshi - II		Xinshi	örÅmqi	43.9360598186145	87.5815370077267	prison - medium security	corroborated	P_UR02			91	XJV DB		Laogai handbook	https://web.archive.org/web/20120228232013/http://www.laogai.it/wp-content/uploads/2009/06/laogai-handbook.pdf	https://shahit.biz/eng/#facilities		
810	Xinshi - III		Xinshi	örÅmqi	43.9461069915462	87.5740918324745	prison - medium security	corroborated	P_UR03				XJVDB			https://shahit.biz/eng/#facilities			
811	Xinshi - IV		Xinshi	örÅmqi	43.9267187153692	87.5839245114087	prison - medium security	Satellite - strong	P_UR04			267							
812	Xinshi - V		Xinshi	örÅmqi	43.9273340088822	87.5890001193274	prison - medium security	Satellite - strong	P_UR05			268							
813	Xinshi - VI		Xinshi	örÅmqi	43.9308737063066	87.5901504064576	prison - medium security	Satellite - strong	P_UR06			269							
814	Xinshi - XIII	A	Xinshi	örÅmqi	43.9411420313447	87.5783411842252	prison - medium security	corroborated	P_UR08			265	XJV DB		Laogai handbook	https://web.archive.org/web/20120228232013/http://www.laogai.it/wp-content/uploads/2009/06/laogai-handbook.pdf	https://shahit.biz/eng/#facilities		
815	Xinshi - VIII		Xinshi	örÅmqi	43.908570523316	87.5302491394228		Pre-2016 programme - detention centre	P_UR09										
816	Saybagh - II		Saybagh	örÅmqi	43.7965584701719	87.5601254389309	detention center	corroborated	P_UR12			272			Laogai handbook	https://web.archive.org/web/20120228232013/http://www.laogai.it/wp-content/uploads/2009/06/laogai-handbook.pdf			
817	Tianshan - I		Tianshan	örÅmqi	43.7473936239282	87.6464273115899	detention center	corroborated	P_UR13			274	XJV DB				https://shahit.biz/eng/#facilities		
818			Saybagh	örÅmqi	43.7655387251108	87.504610341496		Pre-2016 programme	P_UR14										
819	Urumqi County - I		Urumqi County	örÅmqi	43.62192040813	87.5840258312875	prison - medium security	Satellite - strong	P_UR16			273							
820	Toutunhe - II		Toutunhe	örÅmqi	43.9560121547342	87.3177600056734		Pre-2016 programme - detention centre	P_UR17										
821			Urumqi County	örÅmqi	43.7594318440635	87.5680865583629		Pre-2016 programme	P_UR18										
822	Toutunhe - V		Toutunhe	örÅmqi	43.8666247298704	87.4356298216867		Pre-2016 programme - detention centre	P_UR19										
823	Toutunhe - III		Toutunhe	örÅmqi	43.883589656353	87.39359797114	detention center	Satellite - strong	P_UR20			282							
824	Midong - II		Midong	örÅmqi	43.9651692520562	87.6731505876499		Pre-2016 programme - detention centre	P_UR21										
825	Xinshi - X		Xinshi	örÅmqi	44.0258379738487	87.4323834616873	camp	Satellite - medium	P_UR22										
826	Kashgar - III		Kashgar	Kashgar	39.4549395065734	75.9667146835398		Pre-2016 programme	P_QE01										
